Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-02-03,Big Brother Brasil 21,2021,,,,"- não é senhor, nem senhora é SENHORE.",,2021-02-02
2021-03-11,"Radiohead - The Numbers: Jonny, Thom & a CR78",2016,,,,onde quer eu vá na filmografia do PTA tá lá..... o maldito do thom yorke!!,,2021-03-10
2021-03-23,Blur: Live at Glastonbury '98,1998,,5,,TE AMO BLUR,,2021-03-23
2021-05-03,Carta aberta à Gilberto Nogueira (...),2021,,,,😭 A MAIOR INJUSTIÇA DESSE BRASILLLLLLLLLL!!!!!,,2021-05-03
2021-07-01,SOUR Prom,2021,,,,pedro siqueira bastos fã número 1 da rainha!,,2021-06-30
2021-07-23,Kanye West Presents a DONDA Listening Event,,,5,,SIMPLESMENTE A VOLTA DE JESUS CRISTO!!!!!,,2021-07-23
2021-08-06,Kanye West Presents The Donda Album Release,,,,,"<blockquote>
""eu sou o artista mais importante da nossa geração, sou o shakespeare em carne e osso, walt disney, nike, google!""</blockquote>simplesmente Deus, literalmente não existe mais ateísmo depois de hoje.",,2021-08-06
