Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-08-18,Rebecca,1940,https://boxd.it/1j89KR,4.5,,"O filme começa com um tom ingênuo que vai lentamente ficando mais tenso, o ambiente de Manderley e a figura da Mrs. Danvers contribuem para isso.

A Rebbeca em si nunca aparece realmente, mas sua presença parece inundar os ambientes da mansão, tendo em vista que acompanhamos durante maior parte do filme o olhar da jovem Mrs. de Winter.

Hitchcock era um mestre em contar histórias e criar reviravoltas memoráveis. Assistir a um de seus filmes nunca é perda de tempo.",,2020-08-17
2020-09-05,I'm Thinking of Ending Things,2020,https://boxd.it/1kYlm1,4,,"Gosto da maneira como o filme se desprende de uma narrativa tradicional e assume um certo surrealismo em sua segunda metade, um dos pontos altos do filmes em minha opinião.

Os diálogos entre os dois personagens principais, particulamente quando estão no carro sozinhos, é recheado de existencialismo e poesia. Porém, ao mesmo tempo que o diretor trata de vários temas, parece não se aprofundar realmente em nenhum deles, o que me soou um tanto quanto superficial em certas cenas.

Não conheço muito da obra do Kauffman como diretor, mas gosto bastante do filme ""Brilho Eterno de uma Mente sem Lembranças"" no qual ele é roteirista. 
Consigo ver semelhanças na maneira como as emoções humanas são trabalhadas nos dois filmes, ainda que aqui ele pareça mais livre para experimentar e explorar a linguagem cinematográfica.",,2020-09-04
2020-09-16,Cuties,2020,https://boxd.it/1maLmp,2.5,,"Até consigo compreender o tom de crítica na mensagem que acaba sendo passada ao final do filme, mas ainda assim é inegável que existem cenas no mínimo questionáveis aqui.

Penso que, se a proposta era fazer uma crítica a essa perda de inocência ou até mesmo a própria sexualixação da criança, a direção poderia usar melhor a forma para gerar esse efeito. Pois ao mesmo tempo que essa crítica surge e fica sutilmente evidente dentro da história, a câmera parece seguir o caminho oposto e acaba por fazer exatamente aquilo que o filme tenta criticar.

Acho válida a discussão e reflexão que é proposta por Mignonnes, mas no geral achei o filme pouco inventivo e bem mediano. Apenas acho interessante destacar a atuação das crianças, que é realmente muito boa e consegue se encaixar excelentemente dentro do universo do filme.",,2020-09-16
2020-10-14,Duel,1971,https://boxd.it/1p5eYH,5,,"Genial como Spielberg consegue vilanizar uma máquina e torná-la quase como uma entidade maligna com pouquíssimos recursos. Aliás, o grande charme do filme é esse, nunca revelar o motorista, a face humana, do insano caminhão.

O som do caminhão se aproximando se torna tão assombroso que durante o filme ficamos sempre aguardando aquele tão esperado anúncio do automóvel e, em uma das cenas, quando esse anúncio não ocorre, o impacto continua e é até mais tenso do que no resto do filme.

Sinto uma grande inspiração de Spielberg em Hitchcock aqui. A maneira como o suspense é conduzido, como as atuações são encenadas e o desfecho me remetem diretamente à seus filmes.",,2020-10-13
2020-10-21,Yesterday There Were Strange Things in the Sky,2020,https://boxd.it/1pOyKv,4,,"Uma grande e imersiva viagem à monótona vida cotidiana. 

O tempo que passa, a mesmice rotineira, o silêncio interrompido, a sensação de estar estagnado, tudo aqui parece ir pesando lentamente em nossas costas a cada cena do filme.

Gosto muito de como documentário e ficção se mesclam aqui e também adoro todas as experimentações metalinguisticas que ocorrem em certas cenas. Assisti a esse filme sem nenhuma informação sobre o projeto, então essa confusão em relação à veracidade das cenas realmente me marcou muito.",,2020-10-20
2020-12-03,The Queen's Gambit,2020,https://boxd.it/1utzlz,4,,"Acho a conclusão meio brega, mas ainda gosto de todo o restante da produção.",,2020-12-02
2020-12-07,Mank,2020,https://boxd.it/1uYBDH,3.5,,"Achei este o trabalho mais diferente dentre os filmes que vi do Fincher, a abordagem parece utilizar de um humor mais aparente, ainda que ele continue sendo sutil e pontual. 

O diretor parece abrir mão de alguns aspectos de sua direção em filmes anteriores para emular, mesmo que não completamente, esse estilo mais clássico dos anos 30 e 40. A forma como o preto e branco, a trilha sonora e, de certa forma, até as atuações em ""Mank"" remetem a filmes da mesma época de Cidadão Kane e à direção de Orson Welles demonstra isso muito bem.

Mesmo gostando muito de diversos aspectos dessa obra, ela ainda assim foi cansativa de assistir, tudo isso devido a escolha de Fincher de utilizar flashbacks repetitivos que se tornam extremamente massantes e parecem interromper a continuidade das cenas para apresentar acontecimentos irrelevantes, interferindo muito na fluidez do filme e soando em grande parte como um facilitador barato.",,2020-12-07
2020-12-30,Soul,2020,https://boxd.it/1xU7Tf,4,,"Gosto muito de toda a temática abordada aqui.
O filme trabalha muito bem suas cenas mais dramáticas com cenas mais subjetivas e interpretativas. Aliás toda mensagem passada é lindíssima e, por incrível que pareça, não soa brega.

Um dos pontos altos de Soul em minha visão está na beleza de sua animação 3D nas cenas que se passam na Terra. Ela consegue mesclar muito bem essa estilização, usando personagens muito expressivos em suas formas, com o realismo das texturas e iluminação presentes nos cenários e personagens.

Meu grande problema com o filme é essa constante tentativa de criar um humor bobo nos seus meados. Isso me retirou da trama do filme em diversos momentos pois a queda de um tom mais sério para o completo infantil foi muito grande. 

As cenas que ocorrem no outro plano são interessantes porém pouco inventivas e ousadas ao meu ver, essa abordagem surreal parece nunca se completar definitivamente. Até existem ideias muito boas aqui e ali nesse quesito, mas no geral não me agradou tanto.

Mesmo falhando em alguns aspectos, Soul ainda consegue entregar uma grande animação que facilmente está presente nos melhores filmes que vi deste ano.",,2020-12-29
2021-01-18,Russian Ark,2002,https://boxd.it/1B3sAD,5,,"Muito interessante a associação que é feita aqui entre a câmera que passeia livremente pelo cenário com um ser misterioso, o qual a presença não é notada pelos mortais.

Com certeza o uso mais criativo que já vi de um um plano sequência, que, além de demonstrar todo um esforço técnico por parte do diretor (99 minutos filmados em um único take), consegue muito bem ser útil dentro da proposta narrativa do filme.

Além disso, para quem se interessa por história, tanto da arte quanto da própria Rússia em si, esse filme será ainda mais interessante, tendo em vista que ele foi realizado dentro do Museu Hermitage de São Petersburgo.",,2021-01-17
2021-01-28,Santa Sangre,1989,https://boxd.it/1Cysuh,5,,"O que mais me impressionou é a habilidade de Alejandro Jodorowsky em utilizar imagens que beiram o surreal para contar uma história que ainda passeia por uma lógica real.

As cores vivas que quase saltam da tela ajudam muito a dar essa sensação alucinógena, mas é a violência explícita chocante que nos traz de volta à lucidez.",,2021-01-28
