Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-10-12,Hubie Halloween,2020,https://boxd.it/1oSr4V,2.5,,,2020-10-11
2020-10-14,Duel,1971,https://boxd.it/1p5eYH,5,,,2020-10-13
2020-10-17,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/1pjOgp,5,Yes,,2020-10-16
2020-10-18,Dunkirk,2017,https://boxd.it/1puDrX,3,,,2020-10-18
2020-10-20,Sleepy Hollow,1999,https://boxd.it/1pJdrd,4.5,,,2020-10-19
2020-10-21,Yesterday There Were Strange Things in the Sky,2020,https://boxd.it/1pOyKv,4,,,2020-10-20
2020-10-23,Collateral,2004,https://boxd.it/1q1IWx,4,,,2020-10-22
2020-11-05,Moonlight,2016,https://boxd.it/1rxmY5,5,Yes,,2020-10-31
2020-11-09,Slumdog Millionaire,2008,https://boxd.it/1rXHGX,2,,,2020-10-31
2020-11-05,It Comes at Night,2017,https://boxd.it/1rxmET,4,,,2020-11-01
2020-11-05,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/1rxmKx,4.5,,,2020-11-04
2020-11-07,Mean Girls,2004,https://boxd.it/1rKxD9,3.5,,,2020-11-06
2020-11-08,His House,2020,https://boxd.it/1rR0Sf,3.5,,,2020-11-07
2020-11-09,The Cabinet of Dr. Caligari,1920,https://boxd.it/1rYiZR,5,,,2020-11-08
2020-11-11,Gladiator,2000,https://boxd.it/1sa1Ij,3.5,,,2020-11-10
2020-11-13,The Aviator,2004,https://boxd.it/1slroV,3.5,,,2020-11-12
2020-11-18,Casa Grande,2014,https://boxd.it/1sRulp,4,,,2020-11-18
2020-11-20,Kiss of the Spider Woman,1985,https://boxd.it/1t2FKx,4.5,,,2020-11-19
2020-11-21,The Dictator,2012,https://boxd.it/1t82kn,2.5,,,2020-11-20
2020-11-22,Frankenstein,1910,https://boxd.it/1tbiVZ,3.5,,,2020-11-21
2020-11-22,Life of Brian,1979,https://boxd.it/1tbPHr,4,,,2020-11-21
2020-11-22,Eyes Wide Shut,1999,https://boxd.it/1tfvPt,5,,,2020-11-21
2020-11-23,If Anything Happens I Love You,2020,https://boxd.it/1tmSvv,4.5,,,2020-11-22
2020-11-23,Meshes of the Afternoon,1943,https://boxd.it/1tn2ll,5,,,2020-11-22
2020-11-27,Secret Beyond the Door...,1947,https://boxd.it/1tMOip,3.5,,,2020-11-26
2020-11-30,Magnolia,1999,https://boxd.it/1u7Oax,5,,,2020-11-29
2020-12-01,The Age of Innocence,1993,https://boxd.it/1ui3px,5,,,2020-12-01
2020-12-03,The Queen's Gambit,2020,https://boxd.it/1utzlz,4,,,2020-12-02
2020-12-04,Thoroughbreds,2017,https://boxd.it/1uAjer,4,,,2020-12-03
2020-12-05,Citizen Kane,1941,https://boxd.it/1uGYAF,5,,,2020-12-04
2020-12-10,Euphoria: Trouble Don't Last Always,2020,https://boxd.it/1ve1jj,4.5,,,2020-12-05
2020-12-07,Mank,2020,https://boxd.it/1uYBDH,3.5,,,2020-12-07
2020-12-09,Mud Zombies,2008,https://boxd.it/1vbDWH,2.5,,,2020-12-08
2020-12-10,The Trial of the Chicago 7,2020,https://boxd.it/1vhW6R,3,,,2020-12-09
2020-12-12,Emicida: AmarElo - It's All for Yesterday,2020,https://boxd.it/1vpi5Z,4,,,2020-12-11
2020-12-12,Indiana Jones and the Temple of Doom,1984,https://boxd.it/1vtlpV,4.5,,,2020-12-12
2020-12-13,S. Bernardo,1972,https://boxd.it/1vxHAJ,5,,,2020-12-12
2020-12-16,Basic Instinct,1992,https://boxd.it/1vWJ0N,4.5,,,2020-12-16
2020-12-19,Ma Rainey's Black Bottom,2020,https://boxd.it/1wfYfL,3.5,,,2020-12-18
2020-12-21,Mandy,2018,https://boxd.it/1wt1v9,5,,,2020-12-20
2020-12-23,First Cow,2019,https://boxd.it/1wMDSN,5,,,2020-12-23
2020-12-24,The Invisible Man,2020,https://boxd.it/1wUqld,4.5,,,2020-12-24
2020-12-25,How the Grinch Stole Christmas,2000,https://boxd.it/1wZfvr,3,Yes,,2020-12-24
2020-12-26,Palm Springs,2020,https://boxd.it/1xc3Pv,4.5,,,2020-12-25
2020-12-30,Soul,2020,https://boxd.it/1xU7Tf,4,,,2020-12-29
2020-12-30,The Midnight Sky,2020,https://boxd.it/1xWAOR,2.5,,,2020-12-29
