Date,Name,Year,Letterboxd URI
2021-12-21,The Northman,2022,https://boxd.it/nK2s
2021-12-28,American Sniper,2014,https://boxd.it/5LDy
2022-01-12,Benedetta,2021,https://boxd.it/gdNQ
2022-01-12,The Tragedy of Macbeth,2021,https://boxd.it/lMi4
2022-01-13,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs
2022-01-15,Licorice Pizza,2021,https://boxd.it/qTKY
2022-01-16,A Nightmare on Elm Street,1984,https://boxd.it/2aw0
2022-02-06,Drive My Car,2021,https://boxd.it/sv94
2022-02-07,Raw,2016,https://boxd.it/dLd2
2022-04-22,Bob Spit - We Do Not Like People,2021,https://boxd.it/vmds
2022-04-24,Harakiri,1962,https://boxd.it/1NTU
2022-04-24,Central Station,1998,https://boxd.it/29RG
2022-04-24,Ikiru,1952,https://boxd.it/251c
2022-04-24,Alien,1979,https://boxd.it/2awY
2022-04-24,8½,1963,https://boxd.it/2aqm
2022-04-24,The Human Condition III: A Soldier's Prayer,1961,https://boxd.it/1dIQ
2022-04-24,The Human Condition I: No Greater Love,1959,https://boxd.it/1jAy
2022-04-24,The Human Condition II: Road to Eternity,1959,https://boxd.it/1dJa
2022-04-25,Planet Terror,2007,https://boxd.it/27Gw
2022-07-16,Coherence,2013,https://boxd.it/6xza
2022-07-23,A Brighter Summer Day,1991,https://boxd.it/1Luy
2022-07-23,Torso,1973,https://boxd.it/1iGg
2022-07-27,Under the Skin,2013,https://boxd.it/3mDa
2022-07-27,The Doors,1991,https://boxd.it/1W18
2022-08-15,Johnny Got His Gun,1971,https://boxd.it/1KkM
2022-09-14,Sympathy for the Devil,1968,https://boxd.it/CQI
2022-09-14,Goodbye to Language,2014,https://boxd.it/3PMA
2022-10-15,In the Realm of the Senses,1976,https://boxd.it/22qS
2022-12-09,Hovering Over the Water,1986,https://boxd.it/2VaU
2022-12-09,Snow White,2000,https://boxd.it/2Vby
2023-01-08,Aftersun,2022,https://boxd.it/Arw0
2023-01-10,The Deceased,1965,https://boxd.it/7DUg
2023-01-11,Moonage Daydream,2022,https://boxd.it/A8Co
2023-01-12,The Fire Within: Requiem for Katia and Maurice Krafft,2022,https://boxd.it/AUFg
2023-01-17,Elvis,1979,https://boxd.it/12Bk
2023-01-25,The Fabelmans,2022,https://boxd.it/ugoM
2023-01-25,The Grandmother,1970,https://boxd.it/RMm
2023-01-25,Labyrinth,1986,https://boxd.it/1POC
2023-01-28,A Woman Under the Influence,1974,https://boxd.it/1myg
2023-02-07,The White Ribbon,2009,https://boxd.it/17eU
2023-02-22,Embodiment of Evil,2008,https://boxd.it/1z8U
2023-02-23,Iracema,1975,https://boxd.it/3RL0
2023-02-23,Black Sunday,1960,https://boxd.it/1rlG
2023-02-23,Yi Yi,2000,https://boxd.it/1vCw
2023-02-23,Funny Games,2007,https://boxd.it/207a
2023-02-24,Speak No Evil,2022,https://boxd.it/vqlg
2023-02-28,Cocaine Bear,2023,https://boxd.it/ugw2
2023-03-01,Nekromantik,1988,https://boxd.it/1T0w
2023-03-16,Pi,1998,https://boxd.it/2ajq
2023-03-22,Curiosa,2019,https://boxd.it/hyho
2023-03-22,Dead Man,1995,https://boxd.it/29h4
2023-03-22,A Culpa é do Neymar,2015,https://boxd.it/pJO0
2023-03-22,Roger Waters: The Wall,2014,https://boxd.it/950s
2023-03-22,Fellini's Casanova,1976,https://boxd.it/Xp4
2023-03-22,Belladonna of Sadness,1973,https://boxd.it/2q
2023-03-23,Carne,1991,https://boxd.it/28Ak
2023-03-28,Pulse,2001,https://boxd.it/1s3y
2023-03-29,Z,1969,https://boxd.it/26pY
2023-04-15,"Girl, Interrupted",1999,https://boxd.it/25ds
2023-04-16,The Room,2003,https://boxd.it/1ICY
2023-04-16,The Amazing Bulk,2012,https://boxd.it/3G3c
2023-04-17,Frank,2014,https://boxd.it/5hII
2023-04-17,Across the Universe,2007,https://boxd.it/23X4
2023-05-20,Strange Way of Life,2023,https://boxd.it/Aomw
2023-05-23,The Bird with the Crystal Plumage,1970,https://boxd.it/1DDW
2023-05-26,The Friendly Man,2019,https://boxd.it/mKO0
2023-06-03,Goodnight Mommy,2014,https://boxd.it/8Niy
2023-06-03,Ixcanul,2015,https://boxd.it/amRq
2023-06-04,Tarantino's Mind,2006,https://boxd.it/5A6y
2023-06-08,Hanagatami,2017,https://boxd.it/hnUO
2023-06-17,Blade Runner,1982,https://boxd.it/2bcA
2023-06-28,Helter Skelter,2012,https://boxd.it/3ybW
2023-07-11,Alucarda,1977,https://boxd.it/12xs
2023-07-25,On the Silver Globe,1988,https://boxd.it/1sAM
2023-07-25,A Page of Madness,1926,https://boxd.it/3i2u
2023-07-29,Angel's Egg,1985,https://boxd.it/1LeA
2023-07-29,Martyrs,2008,https://boxd.it/1Yqu
2023-07-29,Millennium Mambo,2001,https://boxd.it/1Tzw
2023-07-29,Pandora's Box,1929,https://boxd.it/29jE
2023-07-29,I Am Cuba,1964,https://boxd.it/1hUQ
2023-07-30,Kuroneko,1968,https://boxd.it/12mE
2023-07-30,Adaptation.,2002,https://boxd.it/26mA
2023-07-30,Blood Wedding,1981,https://boxd.it/XDU
2023-07-31,Beauty and the Beast,1978,https://boxd.it/2tKA
2023-07-31,Empire of the Sun,1987,https://boxd.it/1X4i
