Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-12-08,After We Collided,2020,https://boxd.it/1v3VtR,1.5,,o primeiro já não era bom o segundo conseguiu estragar,,
2023-07-18,Mission: Impossible,1996,https://boxd.it/4xazEz,4.5,Yes,.,,2023-07-17
2023-07-19,Scream,1996,https://boxd.it/4xryLj,5,Yes,.,,2023-07-18
