Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-10-10,Free Guy,2021,https://boxd.it/2c4rcZ,4.5,,,2021-10-08
2021-10-30,Hitman's Wife's Bodyguard,2021,https://boxd.it/2ffNpl,4,,,2021-10-15
2021-10-17,Stardust,2007,https://boxd.it/2d9ghX,5,Yes,,2021-10-16
2021-11-03,A Simple Favor,2018,https://boxd.it/2g0rcX,5,,,2021-11-02
2021-11-15,All Too Well: The Short Film,2021,https://boxd.it/2hNbDP,5,,,2021-11-12
2021-11-15,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/2hXnsp,5,,,2021-11-14
2021-11-21,Last Night in Soho,2021,https://boxd.it/2iJPqd,5,,,2021-11-20
2021-11-26,Chaos Walking,2021,https://boxd.it/2jrrM3,0.5,,,2021-11-25
2021-12-15,Gone Girl,2014,https://boxd.it/2mmlsD,5,,,2021-12-14
2021-12-17,Beautiful Boy,2018,https://boxd.it/2mEXb7,4.5,,,2021-12-16
2021-12-18,Spider-Man: No Way Home,2021,https://boxd.it/2mO3Rr,5,,,2021-12-17
2021-12-23,Hawkeye,2021,https://boxd.it/2nNt0F,5,,,2021-12-22
2021-12-23,The Matrix,1999,https://boxd.it/2nNubJ,1.5,,,2021-12-22
2021-12-24,The Matrix Reloaded,2003,https://boxd.it/2nYzgr,1,,,2021-12-22
2021-12-29,The Matrix Resurrections,2021,https://boxd.it/2pbJAL,2.5,,,2021-12-22
2021-12-24,The Matrix Revolutions,2003,https://boxd.it/2nYBMp,4.5,,,2021-12-23
2021-12-29,Don't Look Up,2021,https://boxd.it/2pcdDP,3.5,,,2021-12-28
2021-12-30,"tick, tick...BOOM!",2021,https://boxd.it/2pvk4P,5,,,2021-12-29
2021-12-31,Scream,1996,https://boxd.it/2pJJd1,5,Yes,,2021-12-30
2021-12-31,Scream 2,1997,https://boxd.it/2pLaOF,4,Yes,,2021-12-30
2021-12-31,Scream 3,2000,https://boxd.it/2pORTT,2.5,Yes,,2021-12-30
2021-12-31,Scream 4,2011,https://boxd.it/2pP2nJ,5,Yes,,2021-12-30
2022-01-13,mother!,2017,https://boxd.it/2tk3rh,0.5,,,2022-01-12
2022-01-17,Ghostbusters: Afterlife,2021,https://boxd.it/2uqFf5,5,,,2022-01-16
2022-01-22,Halloween Kills,2021,https://boxd.it/2voFDB,0.5,,,2022-01-21
2022-01-23,Scream,2022,https://boxd.it/2vGMh9,5,,,2022-01-22
2022-02-09,Through My Window,2022,https://boxd.it/2yXanz,0.5,,,2022-02-08
2022-02-21,Scream,2022,https://boxd.it/2BbLcJ,5,Yes,,2022-02-20
2022-03-09,The Voyeurs,2021,https://boxd.it/2E1Ysn,2.5,,,2022-03-08
2022-03-09,Being the Ricardos,2021,https://boxd.it/2E2hXf,2.5,,,2022-03-08
2022-03-09,West Side Story,2021,https://boxd.it/2E5G33,1,,,2022-03-08
2022-03-09,Encanto,2021,https://boxd.it/2E6PrF,4,,,2022-03-08
2022-03-11,Dune,2021,https://boxd.it/2EnunL,2.5,,,2022-03-10
2022-03-11,No Time to Die,2021,https://boxd.it/2EoRA1,4.5,,,2022-03-10
2022-03-13,Spider-Man: No Way Home,2021,https://boxd.it/2EOC9h,4.5,Yes,,2022-03-12
2022-03-14,Sing 2,2021,https://boxd.it/2F0Xk5,5,,,2022-03-13
2022-03-15,The Batman,2022,https://boxd.it/2Fisxt,5,,,2022-03-14
2022-03-18,Push,2009,https://boxd.it/2FIia7,5,Yes,,2022-03-17
2022-03-18,House of Gucci,2021,https://boxd.it/2FKyQd,2,,,2022-03-17
2022-03-18,Daredevil,2003,https://boxd.it/2FKzEn,0.5,,,2022-03-17
2022-03-19,Deep Water,2022,https://boxd.it/2FUdAj,0.5,,,2022-03-18
2022-03-21,Monica and Friends: Lessons,2021,https://boxd.it/2Gk7WF,5,,,2022-03-20
2022-03-22,The Batman,2022,https://boxd.it/2GAsyV,5,Yes,,2022-03-21
2022-04-04,How to Lose a Guy in 10 Days,2003,https://boxd.it/2IS5dp,5,,,2022-04-03
2022-04-07,Bride Wars,2009,https://boxd.it/2JouJT,3.5,,,2022-04-06
2022-04-07,A Little Bit of Heaven,2011,https://boxd.it/2JtcV3,2,,,2022-04-06
2022-04-10,Dr. No,1962,https://boxd.it/2JRYmj,3.5,,,2022-04-09
2022-04-11,From Russia with Love,1963,https://boxd.it/2K9VrL,4,,,2022-04-09
