Date,Name,Year,Letterboxd URI
2021-08-08,Plan B,2021,https://boxd.it/rUMy
2021-08-08,The Room,2003,https://boxd.it/1ICY
2021-08-15,Candyman,1992,https://boxd.it/1Ys6
2021-08-15,Au Hasard Balthazar,1966,https://boxd.it/1E3g
2021-08-16,Where Is the Friend's House?,1987,https://boxd.it/ELg
2021-08-17,Inside Llewyn Davis,2013,https://boxd.it/34Ro
2021-08-19,Nocturama,2016,https://boxd.it/dfdk
2021-08-30,Candyman,2021,https://boxd.it/kHFg
2021-09-04,Annette,2021,https://boxd.it/f0RS
2021-09-05,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI
2021-09-08,Saraband,2003,https://boxd.it/rkw
2021-09-09,Run Lola Run,1998,https://boxd.it/2b8o
2021-09-11,Jolt,2021,https://boxd.it/mQk6
2021-09-12,The Matrix Resurrections,2021,https://boxd.it/n87k
2021-09-12,Directed by Andrei Tarkovsky,1988,https://boxd.it/tZw
2021-09-16,Cry Macho,2021,https://boxd.it/s9z0
2021-09-18,A Perfectly Normal Family,2020,https://boxd.it/kYNQ
2021-09-22,The New Romantic,2018,https://boxd.it/hXzW
2021-09-24,Make the Last Wish,2009,https://boxd.it/nIEu
2021-09-25,Himizu,2011,https://boxd.it/3oFs
2021-09-26,Death Comes to Pemberley,2013,https://boxd.it/7eQ4
2021-09-27,Re: Cutie Honey,2004,https://boxd.it/A0ZE
2021-09-28,The Good Shepherd,2004,https://boxd.it/1Wt2
2021-09-28,The Wife,2017,https://boxd.it/bkzG
2021-09-29,There Will Be No Leave Today,1959,https://boxd.it/Paq
2021-09-30,Climax,2018,https://boxd.it/ikvo
2021-09-30,Dear Evan Hansen,2021,https://boxd.it/kOP8
2021-10-04,Diner,2019,https://boxd.it/kOde
2021-10-04,"Je T'Aime, Je T'Aime",1968,https://boxd.it/23P0
2021-10-04,Ikiru,1952,https://boxd.it/251c
2021-10-07,Tales of Terror: 100 Stories,2010,https://boxd.it/jXdq
2021-10-07,Tokyo Serendipity,2007,https://boxd.it/4TNO
2021-10-08,"Paris, Je T'Aime",2006,https://boxd.it/273a
2021-10-08,"Rio, I Love You",2014,https://boxd.it/6iOY
